query,host,warc_date,url,url_path_digits,links,self_links,nofollow_links,anchor_chars_mean,anchor_words_mean,affiliate_links,affiliate_anchor_chars_mean,affiliate_anchor_words_mean,affiliate_product_links,affiliate_nofollow_links,affiliate_links_shortened,affiliate_links_amazon,anchor_chars_ratio,anchor_words_ratio,self_link_ratio,title_chars,is_review,num_h1,num_h2,num_img,num_chars,num_words,ttr,fwr,meta_num_chars,meta_num_words,meta_ttr,meta_fwr,h1_num_chars,h1_num_words,h1_ttr,h1_fwr,img_num_chars,img_num_words,img_ttr,img_fwr,a_num_chars,a_num_words,a_ttr,a_fwr,num_meta_keywords,heading_keyword_overlap,meta_keyword_overlap
best brackets or braces,www.dentaltix.com,2022-08-26T07:56:37Z,https://www.dentaltix.com/en/blog/brackets-orthodontics-how-choose-most-suitable-each-type-treatment,0,104,90,22,12.94230769,1.855769231,0,0,0,0,0,0,0,0,0,0.865384615,130,TRUE,1,9,12,0,0,0,0,0,0,0,0,90,14,0.928571429,0.5,14.91666667,2,0.5,0.027777778,12.94230769,1.884615385,0.903280543,0.075033422,0,0,0
best brackets or braces,www.thompsoncreekdental.com,2022-08-26T07:57:08Z,https://www.thompsoncreekdental.com/blog/8-types-of-orthodontic-brackets/,1,91,80,1,17.56043956,2.692307692,0,0,0,0,0,0,0,0.002626056,0.002429881,0.879120879,71,FALSE,1,11,32,6687,1108,0.370938628,0.4566787,156,28,0.964285714,0.5,48,8,1,0.25,34.59375,5.40625,1,0.13628663,17.56043956,2.714285714,0.872566993,0.05089352,0,0.243169399,0.051912568
best brackets or braces,bellevueorthodontist.com,2022-08-26T07:57:39Z,https://bellevueorthodontist.com/braces/types-of-braces/,0,116,94,0,27.94827586,2.456896552,0,0,0,0,0,0,0,0.004333066,0.002362401,0.810344828,69,FALSE,1,4,10,6450,1040,0.440384615,0.404807692,1,0,0,0,15,3,1,0.333333333,17.6,2.5,0.6,0.036666667,27.94827586,2.5,0.965517241,0.036288998,0,0.27582846,0
best brackets or braces,www.hawleyorthodontics.com,2022-08-26T07:58:05Z,https://www.hawleyorthodontics.com/different-types-of-braces-best-kind/,0,129,111,0,16.65116279,2.457364341,0,0,0,0,0,0,0,0.002093696,0.001775552,0.860465116,81,FALSE,1,5,11,7953,1384,0.36632948,0.408959538,182,30,0.933333333,0.533333333,60,12,1,0.333333333,4.636363636,0.727272727,0.272727273,0.060606061,16.65116279,2.519379845,0.975398363,0.060464137,0,0.261606485,0.074428887
best brackets or braces,www.orthodonticslimited.com,2022-08-26T07:58:28Z,https://www.orthodonticslimited.com/braces/types-of-braces/,0,190,146,15,14.50526316,2.031578947,0,0,0,0,0,0,0,0.002603242,0.002114026,0.768421053,56,TRUE,1,8,65,5572,961,0.335067638,0.508844953,0,0,0,0,33,7,1,0.142857143,9.353846154,1.2,0.707692308,0.017948718,14.50526316,2.073684211,0.873684211,0.033195489,0,0.196875,0
best brackets or braces,novapdo.com,2022-08-26T07:59:03Z,https://novapdo.com/what-braces-are-best-for-my-child/,0,59,44,1,18.05084746,2.474576271,0,0,0,0,0,0,0,0,0,0.745762712,76,FALSE,1,0,2,0,0,0,0,0,0,0,0,34,7,1,0.285714286,0,0,0,0,18.05084746,2.474576271,0.966101695,0.033898305,0,0,0
best brackets or braces,burkeredfordorthodontists.com,2022-08-26T07:59:26Z,https://burkeredfordorthodontists.com/clear-bracket-braces/,0,133,113,14,13.56390977,2.037593985,0,0,0,0,0,0,0,0.002255389,0.002118081,0.84962406,67,FALSE,1,1,7,6014,962,0.420997921,0.395010395,155,24,0.916666667,0.208333333,21,3,1,0,23.14285714,3,1,13.56390977,2.060150376,0.954887218,0.040100251,0,0.116596639,0.12710084,
best brackets or braces,javascript.plainenglish.io,2022-08-26T07:59:52Z,https://javascript.plainenglish.io/javascript-best-practices-this-braces-and-switche-3840744c8840?gi=e6bbd1de098e,11,107,13,7,12.30841121,1.878504673,0,0,0,0,0,0,0,0.002991835,0.002742343,0.121495327,103,TRUE,13,18,31,4114,685,0.383941606,0.360583942,199,31,0.903225806,0.451612903,54,7,1,0.285714286,13.48387097,2.709677419,0.57296467,0.038786482,12.30841121,1.953271028,0.650129803,0.043517282,0,0.208151383,0.064046579
best brackets or braces,world-orthodontics.com,2022-08-26T08:00:30Z,https://world-orthodontics.com/en/pitts-21-the-best-brackets-for-orthodontics/?v=3e8d115eb4b3,2,142,119,3,21.79577465,2.577464789,0,0,0,0,0,0,0,0.003217089,0.002364647,0.838028169,65,TRUE,1,6,19,6775,1090,0.42293578,0.358715596,0,0,0,0,44,7,1,0.285714286,3.894736842,0.473684211,0.315789474,21.79577465,2.683098592,0.894366197,0.02557141,0,0.186329588,0,
best brackets or braces,www.amazon.com,2022-08-26T08:01:06Z,https://www.amazon.com/Brackets-Braces/s?k=Brackets+for+Braces,0,556,400,0,39.02517986,5.160071942,0,0,0,0,0,0,0,0,0,0.71942446,32,TRUE,1,67,90,0,0,0,0,0,0,0,0,482,31,0.741935484,0.258064516,89.03333333,14.6,0.730664633,0.04158451,39.02517986,5.181654676,0.74763512,0.067846973,0,0,0
best brackets or braces,www.healthline.com,2022-08-26T08:03:35Z,https://www.healthline.com/health/dental-and-oral-health/self-ligating-braces,0,231,153,15,21.36363636,3.428571429,0,0,0,0,0,0,0,0.003138942,0.003131115,0.662337662,53,FALSE,1,7,6,6806,1095,0.353424658,0.376255708,152,26,0.884615385,0.307692308,30,5,1,0,18.33333333,2.5,0.24702381,0.020833333,21.36363636,3.545454545,0.898803191,0.05366731,3,0.144886364,0.145833333
best brackets or braces,www.ollieanddarsh.co.uk,2022-08-26T08:05:11Z,https://www.ollieanddarsh.co.uk/blog/teeth-straightening/which-is-better-metal-braces-or-ceramic-braces/,0,148,124,1,23.07432432,1.972972973,0,0,0,0,0,0,0,0.004866974,0.002516547,0.837837838,63,FALSE,1,15,13,4741,784,0.473214286,0.432397959,152,24,1,0.583333333,47,8,0.875,0.25,16.53846154,2.846153846,0.769230769,23.07432432,1.972972973,0.905405405,0.041332485,0,0.212820513,0.057692308,
best brackets or braces,dentalorangecounty.com,2022-08-26T08:05:48Z,https://dentalorangecounty.com/blog/braces-vs-brackets/,0,149,127,1,21.26174497,1.765100671,0,0,0,0,0,0,0,0.003506224,0.001643483,0.852348993,37,FALSE,1,3,9,6064,1074,0.362197393,0.473929236,133,25,0.88,0.56,18,3,1,0,20.77777778,3.666666667,0.777777778,0.091005291,21.26174497,1.771812081,0.926174497,0.007829978,0,0.101218369,0.065604499
best brackets or braces,www.scientific-editing.info,2022-08-26T08:06:22Z,https://www.scientific-editing.info/blog/brackets-braces-and-parentheses/,0,153,138,1,15.22222222,2.111111111,0,0,0,0,0,0,0,0.001617321,0.001316154,0.901960784,74,FALSE,1,14,14,9412,1604,0.354738155,0.43765586,166,27,0.888888889,0.481481481,53,8,1,0.25,23.78571429,3.785714286,1,0.16984127,15.22222222,2.14379085,0.892282554,0.057880845,0,0.391005621,0.0649594
best brackets or braces,www.theorthodontists.com.au,2022-08-26T08:06:45Z,https://www.theorthodontists.com.au/blog/different-types-of-braces-are-available-which-is-best-for-you,0,86,68,2,18.47674419,2.127906977,0,0,0,0,0,0,0,0.002480433,0.001713291,0.790697674,62,FALSE,1,8,17,7449,1242,0.384057971,0.457326892,0,0,0,0,79,11,1,0.363636364,24.41176471,4.117647059,0.753267974,0.098039216,18.47674419,2.139534884,0.881459948,0.050664452,0,0.298061389,0
best brackets or braces,diamondbraces.com,2022-08-26T08:07:16Z,https://diamondbraces.com/braces/ceramic-braces/,0,50,38,0,50.84,6.84,0,0,0,0,0,0,0,0.007240103,0.005891473,0.76,65,FALSE,1,8,16,7022,1161,0.376399655,0.382428941,148,26,0.884615385,0.384615385,65,10,0.9,0,13.5,2,0.6,0.025,50.84,7.38,0.942247191,0.025425896,0,0.217959895,0.156059285
best brackets or braces,www.amazingsmilesorthodontist.com,2022-08-26T08:07:44Z,https://www.amazingsmilesorthodontist.com/what-are-brackets-for-braces/,0,95,71,0,18.02105263,2.831578947,0,0,0,0,0,0,0,0.005292526,0.00487363,0.747368421,59,TRUE,1,6,35,3405,581,0.462994836,0.414802065,108,21,1,0.619047619,29,5,1,0,35.17142857,6.114285714,0.903571429,0.079727891,18.02105263,2.926315789,0.859210526,0.044285714,0,0.296360485,0.129982669
best brackets or braces,myorthodontistus.com,2022-08-26T08:08:08Z,https://myorthodontistus.com/metal-braces-vs-clear-braces-understanding-the-difference/,0,115,86,0,15.6173913,2.182608696,0,0,0,0,0,0,0,0.00182852,0.001477731,0.747826087,75,FALSE,1,1,5,8541,1477,0.381855112,0.433310765,204,34,0.911764706,0.411764706,58,8,0.875,0.125,17.6,1.6,0.4,15.6173913,2.226086957,0.956521739,0.068899868,0,0.168928087,0.139755767,
best brackets or braces,www.dentalcompare.com,2022-08-26T08:08:34Z,https://www.dentalcompare.com/Orthodontic-Supplies/4274-Orthodontic-Brackets/,4,110,99,8,17.72727273,2.263636364,0,0,0,0,0,0,0,0.015604994,0.012717058,0.9,40,FALSE,1,4,28,1136,178,0.629213483,0.359550562,110,14,1,0.285714286,24,2,1,0,13.46428571,1.75,0.571428571,0.015022676,17.72727273,2.263636364,0.853896104,0.059935065,12,0.285714286,0.148571429
best aquarium aids or accessories,aquaticbyte.com,2022-08-26T07:41:53Z,https://aquaticbyte.com/must-have-fish-tank-accessories/,0,91,67,0,19.75824176,3.186813187,0,0,0,0,0,0,0,0.00224449,0.002038908,0.736263736,56,TRUE,1,13,15,8803,1563,0.38515675,0.449776072,88,17,0.941176471,0.588235294,41,7,1,0,42.93333333,7.6,0.933333333,0.071111111,19.75824176,3.230769231,0.832375317,0.048389279,0,0.232903226,0.057419355
best aquarium aids or accessories,be.chewy.com,2022-08-26T07:42:50Z,https://be.chewy.com/7-essentials-for-your-freshwater-fish-tank/,1,136,96,0,14.93382353,2.213235294,0,0,0,0,0,0,0,0.002470442,0.002182678,0.705882353,52,FALSE,1,10,22,6045,1014,0.459566075,0.397435897,152,26,0.846153846,0.461538462,42,7,1,0.142857143,17.36363636,3.409090909,0.702341598,0.047245179,14.93382353,2.242647059,0.731261141,0.037334479,0,0.262376238,0.061386139
best aquarium aids or accessories,www.petsmart.com,2022-08-26T07:44:01Z,https://www.petsmart.com/fish/decor-gravel-and-substrate/,0,945,880,0,23.02645503,3.157671958,0,0,0,0,0,0,0,0,0,0.931216931,49,TRUE,1,20,103,0,0,0,0,182,26,0.846153846,0.307692308,15,3,1,0.333333333,6.970873786,1.174757282,0.330097087,0.029557713,23.02645503,3.165079365,0.93002551,0.019110547,0,0,0
best aquarium aids or accessories,www.petsmart.com,2022-08-26T07:45:37Z,https://www.petsmart.com/learning-center/fish-care/a-set-up-guide-for-your-new-catfish/A0196.html,4,805,740,0,15.80496894,2.10931677,0,0,0,0,0,0,0,0.003610914,0.00277177,0.919254658,49,FALSE,1,16,59,4377,761,0.487516426,0.377135348,178,32,0.90625,0.4375,35,8,1,0.25,11.10169492,1.915254237,0.440677966,0.061084208,15.80496894,2.125465839,0.937888199,0.016718919,0,0.153743316,0.113636364
best aquarium aids or accessories,www.walmart.com,2022-08-26T07:46:53Z,https://www.walmart.com/cp/fish/202074,6,92,48,0,11.9673913,1.869565217,0,0,0,0,0,0,0,0.002612968,0.002313818,0.52173913,0,TRUE,0,8,19,4580,808,0.438118812,0.461633663,0,0,0,0,0,0,0,0,1.263157895,0.210526316,0.105263158,11.9673913,1.913043478,0.967391304,0.043889987,0,0.132169576,0,
best aquarium aids or accessories,www.mascotaplanet.com,2022-08-26T07:47:31Z,https://www.mascotaplanet.com/en/accessories-and-maintenance-of-aquariums,0,565,547,11,21.21061947,1.909734513,0,0,0,0,0,0,0,0,0,0.968141593,34,FALSE,1,16,29,0,0,0,0,0,0,0,0,36,4,1,0.25,24.4137931,3.827586207,0.893103448,0.025862069,21.21061947,1.913274336,0.931386431,0.067217306,6,0,0
best aquarium aids or accessories,www.yellowpages.com.au,2022-08-26T07:48:15Z,https://www.yellowpages.com.au/find/aquariums-aquarium-supplies/happy-valley-sa-5159,4,180,60,81,15.14444444,2.627777778,0,0,0,0,0,0,0,0.004857102,0.005543835,0.333333333,73,FALSE,1,5,1,3118,474,0.514767932,0.240506329,112,16,0.9375,0.1875,54,8,1,0.125,0,0,0,0,15.14444444,2.627777778,0.830791246,0.064506173,0,0.391213389,0.19874477
best aquarium aids or accessories,www.petco.com,2022-08-26T07:49:00Z,https://www.petco.com/shop/en/petcostore/brand/imagitarium,0,348,161,0,17.49425287,2.252873563,0,0,0,0,0,0,0,0.00369701,0.002757495,0.462643678,50,FALSE,1,6,86,4732,817,0.208078335,0.188494492,152,26,0.923076923,0.230769231,0,0,0,0,24.84883721,3.348837209,0.755813953,0.012144703,17.49425287,2.298850575,0.80387931,0.025141398,0,0.192814371,0.046706587
best aquarium aids or accessories,www.lazada.com.ph,2022-08-26T07:50:21Z,https://www.lazada.com.ph/shop-aquariums-accessories-filters/,0,196,141,0,46.44897959,2.030612245,0,0,0,0,0,0,0,0,0,0.719387755,0,FALSE,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,10.07692308,1.692307692,0.692307692,46.44897959,2.030612245,0.882653061,0.011054422,0,0,0,
best aquarium aids or accessories,aquariumplants.com,2022-08-26T07:51:56Z,https://aquariumplants.com/,0,343,328,0,23.5451895,2.472303207,0,0,0,0,0,0,0,0.392419825,0.353186172,0.956268222,62,FALSE,1,3,20,60,7,0.857142857,0,87,12,1,0.083333333,66,0,0,0,32.4,4.75,0.697368421,0.125037594,23.5451895,2.469387755,0.938792133,0.02373883,11,1,0.285714286
best aquarium aids or accessories,www.aquariumsindia.com,2022-08-26T07:52:36Z,https://www.aquariumsindia.com/shop/pond-supplies/pond-medications/rid-all-general-aid-120ml/,3,451,377,36,9.946784922,1.563192905,0,0,0,0,0,0,0,0.038256865,0.033259424,0.835920177,45,TRUE,1,0,24,260,47,0.893617021,0.361702128,115,22,0.909090909,0.363636364,28,5,1,0,9.75,1.75,0.5,9.946784922,1.616407982,0.92165558,0.019586105,0,0.14893617,0.361702128,
best aquarium aids or accessories,www.petsathome.com,2022-08-26T07:53:19Z,https://www.petsathome.com/shop/en/pets/fish/aquatic-treatments-and-medications,0,1,0,0,10,1,0,0,0,0,0,0,0,0.068493151,0.043478261,0,16,FALSE,1,1,1,146,23,0.782608696,0.347826087,0,0,0,0,53,3,1,0,0,0,0,0,10,1,1,0,0.47826087,0,
best aquarium aids or accessories,petsplusmag.com,2022-08-26T07:53:34Z,https://petsplusmag.com/8-add-ons-to-trick-out-aquariums/,1,169,131,0,51.67455621,3.278106509,0,0,0,0,0,0,0,0.013534457,0.005236592,0.775147929,50,FALSE,1,11,104,3818,626,0.635782748,0.263578275,32,5,1,0.4,32,7,1,0.142857143,10.55769231,1.673076923,0.378205128,51.67455621,3.325443787,0.849176859,0.04580351,0,0.214285714,0.014950166,
best aquarium aids or accessories,www.liveaquaria.com,2022-08-26T07:54:14Z,https://www.liveaquaria.com/article/216/?aid=216,3,344,330,0,19.80523256,2.145348837,0,0,0,0,0,0,0,0.003823404,0.002674999,0.959302326,68,FALSE,1,0,14,5180,802,0.46882793,0.309226933,134,24,0.916666667,0.458333333,28,3,1,0,26.57142857,3.642857143,0.642857143,0.055555556,19.80523256,2.171511628,0.95,0.017504153,11,0.060179257,0.119078105
best aquarium aids or accessories,arcreef.com,2022-08-26T07:54:46Z,https://arcreef.com/research/saltwater-aquarium-supplies-guide/,0,102,65,10,16.09803922,2.823529412,0,0,0,0,0,0,0,0.000935661,0.000952608,0.637254902,69,TRUE,1,11,22,17205,2964,0.326923077,0.427125506,128,21,0.904761905,0.428571429,33,4,1,0,38.27272727,5.772727273,0.374492695,0.028064123,16.09803922,2.823529412,0.828431373,0.082351146,0,0.018317503,0.026797829
best aquarium aids or accessories,www.aquasabi.com,2022-08-26T07:55:16Z,https://www.aquasabi.com/aquascaping-wiki_aquarium_aquariums-with-or-without-cover,0,350,342,5,44.27428571,1.494285714,0,0,0,0,0,0,0,0.010647976,0.002175088,0.977142857,62,FALSE,1,0,13,4158,687,0.491994178,0.430858806,21,3,1,0.333333333,32,5,1,0.6,15.69230769,2.461538462,0.923076923,0.051282051,44.27428571,1.517142857,0.965714286,0.013238095,18,0.032163743,0.067251462
best aquarium aids or accessories,www.aquasabi.com,2022-08-26T07:55:44Z,https://www.aquasabi.com/aquascaping-wiki_aquarium_hiding-aquarium-technology,0,346,340,5,44.91618497,1.51734104,0,0,0,0,0,0,0,0.013026736,0.002648065,0.98265896,65,FALSE,1,0,13,3448,573,0.527050611,0.422338569,41,6,1,0.166666667,35,4,1,0,13.46153846,2.230769231,0.923076923,0.076923077,44.91618497,1.534682081,0.965317919,0.012524085,16,0.084063047,0.091068301
best aquarium aids or accessories,www.amazon.in,2022-08-26T07:56:13Z,https://www.amazon.in/gp/bestsellers/pet-supplies/21258653031,11,244,206,0,28.80327869,4.68442623,0,0,0,0,0,0,0,0.259488997,0.334601874,0.844262295,69,FALSE,1,0,44,111,14,1,0.214285714,69,10,0.9,0.3,35,4,1,0.25,88.31818182,13.70454545,0.825817152,0.054124372,28.80327869,4.659836066,0.835865048,0.064678473,0,0.214285714,0.357142857
